Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death
45909,US-Mexico Border,3-Sep-18,2018,Sep,1,,1,,,1,,Dehydration
45903,US-Mexico Border,2-Sep-18,2018,Sep,1,,1,,,,,Unknown (skeletal remains)
45902,US-Mexico Border,31-Aug-18,2018,Aug,1,,1,,,1,,Drowning
45895,US-Mexico Border,30-Aug-18,2018,Aug,1,,1,,,1,,Drowning
45894,US-Mexico Border,29-Aug-18,2018,Aug,1,,1,,,1,,Dehydration
45887,US-Mexico Border,28-Aug-18,2018,Aug,1,,1,,,1,,Unknown
45888,US-Mexico Border,28-Aug-18,2018,Aug,2,,2,,,2,,Drowning
45889,US-Mexico Border,28-Aug-18,2018,Aug,1,,1,,,,,Unknown
45892,US-Mexico Border,27-Aug-18,2018,Aug,1,,1,,,1,,Dehydration
45886,US-Mexico Border,26-Aug-18,2018,Aug,1,,1,,,1,,Unknown
45884,Central America,26-Aug-18,2018,Aug,1,,1,,,1,,Fall from train
45883,Central America,25-Aug-18,2018,Aug,2,,2,5,1,1,1,Vehicle Accident
45882,US-Mexico Border,24-Aug-18,2018,Aug,1,,1,,,1,,Drowning
45885,US-Mexico Border,24-Aug-18,2018,Aug,1,,1,,,,,Unknown
45880,US-Mexico Border,23-Aug-18,2018,Aug,1,,1,,1,,,Drowning
45879,US-Mexico Border,21-Aug-18,2018,Aug,1,,1,,,,,Presumed drowning
45868,US-Mexico Border,21-Aug-18,2018,Aug,1,,1,,,,,Unknown
45867,US-Mexico Border,19-Aug-18,2018,Aug,1,,1,,,,,Dehydration
45866,US-Mexico Border,19-Aug-18,2018,Aug,2,,2,,,,,Drowning
45858,US-Mexico Border,18-Aug-18,2018,Aug,1,,1,,,1,,Dehydration
45859,US-Mexico Border,18-Aug-18,2018,Aug,1,,1,,,1,,Drowning
45856,US-Mexico Border,17-Aug-18,2018,Aug,1,,1,,,,,Presumed drowning
45855,US-Mexico Border,17-Aug-18,2018,Aug,1,,1,,,,,Unknown
45865,US-Mexico Border,17-Aug-18,2018,Aug,1,,1,,,,,Presumed drowning
45853,US-Mexico Border,16-Aug-18,2018,Aug,1,,1,,1,,,Drowning
45850,Central America,15-Aug-18,2018,Aug,3,,3,,,,,Train Accident
45845,US-Mexico Border,15-Aug-18,2018,Aug,1,,1,,,1,,Drowning
45878,Caribbean,15-Aug-18,2018,Aug,,3,3,24,,3,,Presumed drowning
45852,South America,14-Aug-18,2018,Aug,4,,4,19,1,3,,Vehicle Accident
45877,US-Mexico Border,13-Aug-18,2018,Aug,1,,1,,,,,Unknown (skeletal remains)
45863,South America,10-Aug-18,2018,Aug,1,,1,,1,,1,Hypothermia
45890,Central America,8-Aug-18,2018,Aug,1,,1,,,1,,Electrocution on railway
45891,South America,8-Aug-18,2018,Aug,3,,3,14,,,,Hypothermia
45876,Central America,6-Aug-18,2018,Aug,1,,1,,,1,,Fall from train
45843,Central America,5-Aug-18,2018,Aug,1,,1,,,1,,Fall from train
45875,Central America,4-Aug-18,2018,Aug,1,,1,,,1,,Fall from train
45851,US-Mexico Border,1-Aug-18,2018,Aug,38,,38,,,,,Mixed
45832,US-Mexico Border,31-Jul-18,2018,Jul,1,,1,,,1,,Unknown
45818,US-Mexico Border,30-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45829,US-Mexico Border,30-Jul-18,2018,Jul,1,,1,,,,,Unknown
45830,US-Mexico Border,30-Jul-18,2018,Jul,1,,1,,,,,Unknown
45793,US-Mexico Border,26-Jul-18,2018,Jul,1,,1,,,,,Unknown
45815,US-Mexico Border,25-Jul-18,2018,Jul,1,,1,2,,1,,Dehydration
45756,US-Mexico Border,24-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45864,South America,24-Jul-18,2018,Jul,,1,1,,1,,,Hypothermia
45814,US-Mexico Border,24-Jul-18,2018,Jul,1,,1,,,,,Dehydration
45757,US-Mexico Border,24-Jul-18,2018,Jul,1,,1,1,,1,,Cardiac arrest
45828,US-Mexico Border,24-Jul-18,2018,Jul,1,,1,,,1,,Probable hyperthermia
45825,US-Mexico Border,23-Jul-18,2018,Jul,1,,1,,,,,Unknown (skeletal remains)
45826,US-Mexico Border,23-Jul-18,2018,Jul,1,,1,,,,,Unknown (skeletal remains)
45824,US-Mexico Border,22-Jul-18,2018,Jul,1,,1,,,,,Unknown (mummified remains)
45754,US-Mexico Border,22-Jul-18,2018,Jul,1,,1,2,1,,,Dehydration
45751,US-Mexico Border,21-Jul-18,2018,Jul,1,,1,1,,1,,Dehydration
45813,US-Mexico Border,21-Jul-18,2018,Jul,1,,1,,,1,,Dehydration
45810,US-Mexico Border,21-Jul-18,2018,Jul,1,,1,,1,,,Dehydration
45823,Central America,21-Jul-18,2018,Jul,1,,1,,,1,,Hit by train
45753,US-Mexico Border,20-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45749,Central America,19-Jul-18,2018,Jul,1,,1,,,1,,Fall from train
45752,US-Mexico Border,19-Jul-18,2018,Jul,1,,1,,,1,,Dehydration
45822,US-Mexico Border,18-Jul-18,2018,Jul,1,,1,,,1,,Probable hyperthermia
45741,US-Mexico Border,15-Jul-18,2018,Jul,1,,1,3,,1,,Hyperthermia
45820,US-Mexico Border,15-Jul-18,2018,Jul,1,,1,,,1,,Unknown (mummified remains)
45821,US-Mexico Border,15-Jul-18,2018,Jul,1,,1,,1,,,Unknown (skeletal remains)
45728,South America,12-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45726,Central America,11-Jul-18,2018,Jul,1,,1,,,1,,Hit by train
45725,US-Mexico Border,9-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45844,US-Mexico Border,7-Jul-18,2018,Jul,1,,1,,,1,,Unknown
45908,US-Mexico Border,7-Jul-18,2018,Jul,1,,1,,1,,,Unknown
45740,US-Mexico Border,6-Jul-18,2018,Jul,1,,1,,,,,Drowning
45724,US-Mexico Border,6-Jul-18,2018,Jul,1,,1,,,1,,Hyperthermia
45719,Central America,5-Jul-18,2018,Jul,1,,1,,,1,,Fall from train
45716,US-Mexico Border,3-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45727,US-Mexico Border,1-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45739,US-Mexico Border,30-Jun-18,2018,Jun,1,,1,,,,,Dehydration
44943,US-Mexico Border,29-Jun-18,2018,Jun,1,,1,1,,1,,Unknown
44942,US-Mexico Border,27-Jun-18,2018,Jun,1,,1,,,,,Presumed drowning
44941,US-Mexico Border,27-Jun-18,2018,Jun,1,,1,,,1,,Unknown
45771,US-Mexico Border,27-Jun-18,2018,Jun,1,,1,,,,,Hyperthermia
45792,US-Mexico Border,27-Jun-18,2018,Jun,1,,1,,,,,Probable hyperthermia
44940,US-Mexico Border,26-Jun-18,2018,Jun,1,,1,,,1,,Exposure
45790,US-Mexico Border,26-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45791,US-Mexico Border,26-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45789,US-Mexico Border,26-Jun-18,2018,Jun,1,,1,,,1,,Unknown
44928,US-Mexico Border,25-Jun-18,2018,Jun,1,,1,,,1,,Dehydration
45788,US-Mexico Border,24-Jun-18,2018,Jun,1,,1,,1,,,Hyperthermia
44927,US-Mexico Border,23-Jun-18,2018,Jun,1,,1,,,1,,Drowning
45809,US-Mexico Border,23-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45808,US-Mexico Border,23-Jun-18,2018,Jun,1,,1,,,1,,Unknown
44939,US-Mexico Border,22-Jun-18,2018,Jun,1,,1,,,1,,Drowning
44926,US-Mexico Border,22-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45784,US-Mexico Border,21-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45787,US-Mexico Border,21-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45786,US-Mexico Border,21-Jun-18,2018,Jun,1,,1,,,1,,Unknown (skeletal remains)
45785,US-Mexico Border,21-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45783,US-Mexico Border,20-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
44925,US-Mexico Border,19-Jun-18,2018,Jun,1,,1,,,1,,Presumed drowning
45782,US-Mexico Border,19-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45781,US-Mexico Border,18-Jun-18,2018,Jun,1,,1,,,1,,Probable hyperthermia
44904,US-Mexico Border,18-Jun-18,2018,Jun,1,,1,,,1,,Dehydration
45807,US-Mexico Border,18-Jun-18,2018,Jun,1,,1,,,1,,Unknown
44890,US-Mexico Border,17-Jun-18,2018,Jun,1,,1,,,1,,Drowning
44891,US-Mexico Border,17-Jun-18,2018,Jun,5,,5,9,,,,Vehicle Accident
45780,US-Mexico Border,17-Jun-18,2018,Jun,1,,1,,,1,,Probable hyperthermia
45806,US-Mexico Border,16-Jun-18,2018,Jun,1,,1,,,1,,Unknown
45779,US-Mexico Border,15-Jun-18,2018,Jun,1,,1,,,1,,Unknown (skeletal remains)
45805,US-Mexico Border,14-Jun-18,2018,Jun,1,,1,,,1,,Unknown
44889,US-Mexico Border,13-Jun-18,2018,Jun,1,,1,,,1,,Drowning
45777,US-Mexico Border,13-Jun-18,2018,Jun,1,,1,,,1,,Probable hyperthermia
45778,US-Mexico Border,13-Jun-18,2018,Jun,1,,1,,,1,,Unknown (skeletal remains)
45804,US-Mexico Border,13-Jun-18,2018,Jun,1,,1,,,1,,Unknown
45776,US-Mexico Border,12-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45871,US-Mexico Border,11-Jun-18,2018,Jun,1,,1,,,1,,Dehydration
45775,US-Mexico Border,11-Jun-18,2018,Jun,1,,1,,,1,,Unknown (skeletal remains)
44888,US-Mexico Border,10-Jun-18,2018,Jun,1,,1,,,1,,Drowning
45770,US-Mexico Border,9-Jun-18,2018,Jun,1,,1,,,1,,Presumed drowning
44908,US-Mexico Border,8-Jun-18,2018,Jun,1,,1,,,1,,Unknown
44909,US-Mexico Border,8-Jun-18,2018,Jun,1,,1,,,,,Presumed drowning
45774,US-Mexico Border,7-Jun-18,2018,Jun,1,,1,,,1,,Unknown (skeletal remains)
