Web ID,Region ,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death
45909,US-Mexico Border,3-Sep-18,2018,Sep,1,,1,,,1,,Dehydration
45902,US-Mexico Border,31-Aug-18,2018,Aug,1,,1,,,1,,Drowning
45895,US-Mexico Border,30-Aug-18,2018,Aug,1,,1,,,1,,Drowning
45894,US-Mexico Border,29-Aug-18,2018,Aug,1,,1,,,1,,Dehydration
45888,US-Mexico Border,28-Aug-18,2018,Aug,2,,2,,,2,,Drowning
45892,US-Mexico Border,27-Aug-18,2018,Aug,1,,1,,,1,,Dehydration
45882,US-Mexico Border,24-Aug-18,2018,Aug,1,,1,,,1,,Drowning
45880,US-Mexico Border,23-Aug-18,2018,Aug,1,,1,,1,,,Drowning
45867,US-Mexico Border,19-Aug-18,2018,Aug,1,,1,,,,,Dehydration
45866,US-Mexico Border,19-Aug-18,2018,Aug,2,,2,,,,,Drowning
45858,US-Mexico Border,18-Aug-18,2018,Aug,1,,1,,,1,,Dehydration
45859,US-Mexico Border,18-Aug-18,2018,Aug,1,,1,,,1,,Drowning
45853,US-Mexico Border,16-Aug-18,2018,Aug,1,,1,,1,,,Drowning
45850,Central America,15-Aug-18,2018,Aug,3,,3,,,,,Train Accident
45845,US-Mexico Border,15-Aug-18,2018,Aug,1,,1,,,1,,Drowning
45819,Europe,1-Aug-18,2018,Aug,2,,2,,,,,Shot
45818,US-Mexico Border,30-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45816,Europe,29-Jul-18,2018,Jul,1,,1,,,1,1,Drowning
45815,US-Mexico Border,25-Jul-18,2018,Jul,1,,1,2,,1,,Dehydration
45756,US-Mexico Border,24-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45814,US-Mexico Border,24-Jul-18,2018,Jul,1,,1,,,,,Dehydration
45757,US-Mexico Border,24-Jul-18,2018,Jul,1,,1,1,,1,,Cardiac arrest
45758,North Africa,24-Jul-18,2018,Jul,1,,1,,,1,,Shot
45827,Europe,23-Jul-18,2018,Jul,1,,1,,,1,,Stabbed
45754,US-Mexico Border,22-Jul-18,2018,Jul,1,,1,2,1,,,Dehydration
45751,US-Mexico Border,21-Jul-18,2018,Jul,1,,1,1,,1,,Dehydration
45813,US-Mexico Border,21-Jul-18,2018,Jul,1,,1,,,1,,Dehydration
45810,US-Mexico Border,21-Jul-18,2018,Jul,1,,1,,1,,,Dehydration
45753,US-Mexico Border,20-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45747,Middle East,19-Jul-18,2018,Jul,2,2,4,5,1,3,3,Drowning
45752,US-Mexico Border,19-Jul-18,2018,Jul,1,,1,,,1,,Dehydration
45731,North Africa,16-Jul-18,2018,Jul,8,,8,90,1,1,6,Suffocation
45741,US-Mexico Border,15-Jul-18,2018,Jul,1,,1,3,,1,,Hyperthermia
45728,South America,12-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45725,US-Mexico Border,9-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45740,US-Mexico Border,6-Jul-18,2018,Jul,1,,1,,,,,Drowning
45724,US-Mexico Border,6-Jul-18,2018,Jul,1,,1,,,1,,Hyperthermia
45720,Europe,5-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45716,US-Mexico Border,3-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45727,US-Mexico Border,1-Jul-18,2018,Jul,1,,1,,,1,,Drowning
45739,US-Mexico Border,30-Jun-18,2018,Jun,1,,1,,,,,Dehydration
45771,US-Mexico Border,27-Jun-18,2018,Jun,1,,1,,,,,Hyperthermia
44928,US-Mexico Border,25-Jun-18,2018,Jun,1,,1,,,1,,Dehydration
45788,US-Mexico Border,24-Jun-18,2018,Jun,1,,1,,1,,,Hyperthermia
44927,US-Mexico Border,23-Jun-18,2018,Jun,1,,1,,,1,,Drowning
