"","ï..Web.ID","Region","Reported.Date","Reported.Year","Reported.Month","Number.Dead","Minimum.Estimated.Number.of.Missing","Total.Dead.and.Missing","Number.of.Survivors","Number.of.Females","Number.of.Males","Number.of.Children","Cause.of.Death"
"1",45909,"US-Mexico Border","3-Sep-18",2018,"Sep",1,NA,1,NA,NA,1,NA,"Dehydration"
"2",45902,"US-Mexico Border","31-Aug-18",2018,"Aug",1,NA,1,NA,NA,1,NA,"Drowning"
"3",45895,"US-Mexico Border","30-Aug-18",2018,"Aug",1,NA,1,NA,NA,1,NA,"Drowning"
"4",45894,"US-Mexico Border","29-Aug-18",2018,"Aug",1,NA,1,NA,NA,1,NA,"Dehydration"
"5",45888,"US-Mexico Border","28-Aug-18",2018,"Aug",2,NA,2,NA,NA,2,NA,"Drowning"
"6",45892,"US-Mexico Border","27-Aug-18",2018,"Aug",1,NA,1,NA,NA,1,NA,"Dehydration"
"7",45882,"US-Mexico Border","24-Aug-18",2018,"Aug",1,NA,1,NA,NA,1,NA,"Drowning"
"8",45880,"US-Mexico Border","23-Aug-18",2018,"Aug",1,NA,1,NA,1,NA,NA,"Drowning"
"9",45867,"US-Mexico Border","19-Aug-18",2018,"Aug",1,NA,1,NA,NA,NA,NA,"Dehydration"
"10",45866,"US-Mexico Border","19-Aug-18",2018,"Aug",2,NA,2,NA,NA,NA,NA,"Drowning"
"11",45858,"US-Mexico Border","18-Aug-18",2018,"Aug",1,NA,1,NA,NA,1,NA,"Dehydration"
"12",45859,"US-Mexico Border","18-Aug-18",2018,"Aug",1,NA,1,NA,NA,1,NA,"Drowning"
"13",45853,"US-Mexico Border","16-Aug-18",2018,"Aug",1,NA,1,NA,1,NA,NA,"Drowning"
"14",45850,"Central America","15-Aug-18",2018,"Aug",3,NA,3,NA,NA,NA,NA,"Train Accident"
"15",45845,"US-Mexico Border","15-Aug-18",2018,"Aug",1,NA,1,NA,NA,1,NA,"Drowning"
"16",45819,"Europe","1-Aug-18",2018,"Aug",2,NA,2,NA,NA,NA,NA,"Shot"
"17",45818,"US-Mexico Border","30-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"18",45816,"Europe","29-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,1,"Drowning"
"19",45815,"US-Mexico Border","25-Jul-18",2018,"Jul",1,NA,1,2,NA,1,NA,"Dehydration"
"20",45756,"US-Mexico Border","24-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"21",45814,"US-Mexico Border","24-Jul-18",2018,"Jul",1,NA,1,NA,NA,NA,NA,"Dehydration"
"22",45757,"US-Mexico Border","24-Jul-18",2018,"Jul",1,NA,1,1,NA,1,NA,"Cardiac arrest"
"23",45758,"North Africa","24-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Shot"
"24",45827,"Europe","23-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Stabbed"
"25",45754,"US-Mexico Border","22-Jul-18",2018,"Jul",1,NA,1,2,1,NA,NA,"Dehydration"
"26",45751,"US-Mexico Border","21-Jul-18",2018,"Jul",1,NA,1,1,NA,1,NA,"Dehydration"
"27",45813,"US-Mexico Border","21-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Dehydration"
"28",45810,"US-Mexico Border","21-Jul-18",2018,"Jul",1,NA,1,NA,1,NA,NA,"Dehydration"
"29",45753,"US-Mexico Border","20-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"30",45747,"Middle East","19-Jul-18",2018,"Jul",2,2,4,5,1,3,3,"Drowning"
"31",45752,"US-Mexico Border","19-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Dehydration"
"32",45731,"North Africa","16-Jul-18",2018,"Jul",8,NA,8,90,1,1,6,"Suffocation"
"33",45741,"US-Mexico Border","15-Jul-18",2018,"Jul",1,NA,1,3,NA,1,NA,"Hyperthermia"
"34",45728,"South America","12-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"35",45725,"US-Mexico Border","9-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"36",45740,"US-Mexico Border","6-Jul-18",2018,"Jul",1,NA,1,NA,NA,NA,NA,"Drowning"
"37",45724,"US-Mexico Border","6-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Hyperthermia"
"38",45720,"Europe","5-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"39",45716,"US-Mexico Border","3-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"40",45727,"US-Mexico Border","1-Jul-18",2018,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"41",45739,"US-Mexico Border","30-Jun-18",2018,"Jun",1,NA,1,NA,NA,NA,NA,"Dehydration"
"42",45771,"US-Mexico Border","27-Jun-18",2018,"Jun",1,NA,1,NA,NA,NA,NA,"Hyperthermia"
"43",44928,"US-Mexico Border","25-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Dehydration"
"44",45788,"US-Mexico Border","24-Jun-18",2018,"Jun",1,NA,1,NA,1,NA,NA,"Hyperthermia"
"45",44927,"US-Mexico Border","23-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Drowning"
"46",44939,"US-Mexico Border","22-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Drowning"
"47",44904,"US-Mexico Border","18-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Dehydration"
"48",44890,"US-Mexico Border","17-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Drowning"
"49",44887,"Middle East","16-Jun-18",2018,"Jun",1,NA,1,NA,NA,NA,NA,"Shot"
"50",44889,"US-Mexico Border","13-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Drowning"
"51",45871,"US-Mexico Border","11-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Dehydration"
"52",44888,"US-Mexico Border","10-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Drowning"
"53",44886,"Middle East","9-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Shot"
"54",45738,"US-Mexico Border","7-Jun-18",2018,"Jun",1,NA,1,NA,NA,NA,NA,"Drowning"
"55",44931,"US-Mexico Border","7-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Asphyxiation"
"56",44868,"US-Mexico Border","7-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Dehydration"
"57",44885,"Middle East","6-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,1,"Shot"
"58",44867,"Europe","6-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Asphyxiation"
"59",44864,"US-Mexico Border","3-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Drowning"
"60",44837,"Europe","3-Jun-18",2018,"Jun",1,NA,1,NA,NA,1,NA,"Drowning"
"61",45737,"US-Mexico Border","2-Jun-18",2018,"Jun",1,NA,1,NA,NA,NA,NA,"Drowning"
"62",44901,"Middle East","28-May-18",2018,"May",2,NA,2,NA,2,NA,1,"Drowning"
"63",44884,"Middle East","27-May-18",2018,"May",1,NA,1,NA,NA,1,NA,"Shot"
"64",44823,"US-Mexico Border","26-May-18",2018,"May",1,NA,1,NA,NA,1,NA,"Drowning"
"65",44883,"Middle East","26-May-18",2018,"May",1,NA,1,NA,NA,NA,NA,"Shot"
"66",44900,"Middle East","25-May-18",2018,"May",1,NA,1,NA,NA,1,NA,"Drowning"
"67",44820,"US-Mexico Border","24-May-18",2018,"May",2,NA,2,NA,NA,2,NA,"Drowning"
"68",44817,"US-Mexico Border","23-May-18",2018,"May",1,NA,1,3,1,NA,NA,"Shot"
"69",44818,"North Africa","23-May-18",2018,"May",15,NA,15,25,NA,NA,NA,"Shot"
"70",44816,"Central America","22-May-18",2018,"May",1,NA,1,106,NA,1,NA,"Shot"
"71",44813,"Europe","21-May-18",2018,"May",1,NA,1,2,NA,1,NA,"Drowning"
"72",44875,"Europe","20-May-18",2018,"May",1,NA,1,NA,NA,1,NA,"Drowning"
"73",44809,"Europe","17-May-18",2018,"May",1,NA,1,NA,1,NA,1,"Shot"
"74",44856,"US-Mexico Border","13-May-18",2018,"May",1,NA,1,NA,NA,1,NA,"Dehydration"
"75",44805,"US-Mexico Border","13-May-18",2018,"May",1,NA,1,NA,NA,1,NA,"Drowning"
"76",44882,"Middle East","13-May-18",2018,"May",1,NA,1,NA,NA,1,NA,"Shot"
"77",44829,"US-Mexico Border","12-May-18",2018,"May",1,NA,1,NA,NA,1,NA,"Drowning"
"78",44799,"US-Mexico Border","11-May-18",2018,"May",1,NA,1,NA,NA,1,NA,"Drowning"
"79",44804,"US-Mexico Border","11-May-18",2018,"May",1,NA,1,NA,NA,1,NA,"Drowning"
"80",44803,"Europe","9-May-18",2018,"May",1,NA,1,NA,1,NA,NA,"Drowning"
"81",44881,"Middle East","8-May-18",2018,"May",2,NA,2,NA,NA,1,NA,"Shot"
"82",44852,"US-Mexico Border","6-May-18",2018,"May",1,NA,1,NA,1,NA,NA,"Hyperthermia"
"83",44788,"US-Mexico Border","3-May-18",2018,"May",1,NA,1,NA,NA,1,NA,"Drowning"
"84",44802,"Europe","30-Apr-18",2018,"Apr",1,NA,1,NA,NA,1,NA,"Drowning"
